"data e hora","caso de teste","mensagem"
"[2021/07/16 18:57:37.203]","Consultar Curso Mantis","Iniciou o teste"
"[2021/07/16 18:57:47.322]","Consultar Curso Mantis","Abriu o site"
"[2021/07/16 18:57:48.479]","Consultar Curso Mantis","Clicou na caixa de pesquisa"
"[2021/07/16 18:57:48.528]","Consultar Curso Mantis","Limpou a caixa de pesquisa"
"[2021/07/16 18:57:48.578]","Consultar Curso Mantis","Escreveu Mantis na caixa de pesquisa"
"[2021/07/16 18:57:51.590]","Consultar Curso Mantis","Clicou no botão da Lupa"
"[2021/07/16 18:57:51.633]","Consultar Curso Mantis","Confirmou o texto indicativo da pesquisa do curso Mantis"
"[2021/07/16 18:57:54.203]","Consultar Curso Mantis","Clicou no botão Matricule-se"
"[2021/07/16 18:57:54.241]","Consultar Curso Mantis","Confirmou o nome do curso Mantis"
"[2021/07/16 18:57:54.277]","Consultar Curso Mantis","Confirmou o preço do curso Mantis"
"[2021/07/16 18:57:54.497]","Consultar Curso Mantis","Concluiu o teste"
